year,sex,ishd,tbalc
0,male,1,1
1,male,0.991049655,0.982812184
2,male,0.982179418,0.96591979
3,male,0.973388573,0.949317739
4,male,0.96467641,0.949317739
5,male,0.956042223,0.949317739
6,male,0.956042223,0.949317739
7,male,0.956042223,0.949317739
8,male,0.956042223,0.949317739
9,male,0.956042223,0.949317739
10,male,0.956042223,0.949317739
11,male,0.956042223,0.949317739
12,male,0.956042223,0.949317739
13,male,0.956042223,0.949317739
14,male,0.956042223,0.949317739
15,male,0.956042223,0.949317739
16,male,0.956042223,0.949317739
17,male,0.956042223,0.949317739
18,male,0.956042223,0.949317739
19,male,0.956042223,0.949317739
20,male,0.956042223,0.949317739
21,male,0.956042223,0.949317739
22,male,0.956042223,0.949317739
23,male,0.956042223,0.949317739
24,male,0.956042223,0.949317739
25,male,0.956042223,0.949317739
26,male,0.956042223,0.949317739
27,male,0.956042223,0.949317739
28,male,0.956042223,0.949317739
29,male,0.956042223,0.949317739
30,male,0.956042223,0.949317739
31,male,0.956042223,0.949317739
32,male,0.956042223,0.949317739
33,male,0.956042223,0.949317739
34,male,0.956042223,0.949317739
35,male,0.956042223,0.949317739
36,male,0.956042223,0.949317739
37,male,0.956042223,0.949317739
38,male,0.956042223,0.949317739
39,male,0.956042223,0.949317739
40,male,0.956042223,0.949317739
41,male,0.956042223,0.949317739
42,male,0.956042223,0.949317739
43,male,0.956042223,0.949317739
44,male,0.956042223,0.949317739
45,male,0.956042223,0.949317739
46,male,0.956042223,0.949317739
47,male,0.956042223,0.949317739
48,male,0.956042223,0.949317739
49,male,0.956042223,0.949317739
50,male,0.956042223,0.949317739
51,male,0.956042223,0.949317739
52,male,0.956042223,0.949317739
53,male,0.956042223,0.949317739
54,male,0.956042223,0.949317739
55,male,0.956042223,0.949317739
56,male,0.956042223,0.949317739
57,male,0.956042223,0.949317739
58,male,0.956042223,0.949317739
59,male,0.956042223,0.949317739
60,male,0.956042223,0.949317739
61,male,0.956042223,0.949317739
62,male,0.956042223,0.949317739
63,male,0.956042223,0.949317739
64,male,0.956042223,0.949317739
65,male,0.956042223,0.949317739
66,male,0.956042223,0.949317739
67,male,0.956042223,0.949317739
68,male,0.956042223,0.949317739
69,male,0.956042223,0.949317739
70,male,0.956042223,0.949317739
71,male,0.956042223,0.949317739
72,male,0.956042223,0.949317739
73,male,0.956042223,0.949317739
74,male,0.956042223,0.949317739
75,male,0.956042223,0.949317739
76,male,0.956042223,0.949317739
77,male,0.956042223,0.949317739
78,male,0.956042223,0.949317739
79,male,0.956042223,0.949317739
80,male,0.956042223,0.949317739
81,male,0.956042223,0.949317739
82,male,0.956042223,0.949317739
83,male,0.956042223,0.949317739
84,male,0.956042223,0.949317739
85,male,0.956042223,0.949317739
86,male,0.956042223,0.949317739
87,male,0.956042223,0.949317739
88,male,0.956042223,0.949317739
89,male,0.956042223,0.949317739
90,male,0.956042223,0.949317739
91,male,0.956042223,0.949317739
92,male,0.956042223,0.949317739
93,male,0.956042223,0.949317739
94,male,0.956042223,0.949317739
95,male,0.956042223,0.949317739
96,male,0.956042223,0.949317739
97,male,0.956042223,0.949317739
98,male,0.956042223,0.949317739
99,male,0.956042223,0.949317739
100,male,0.956042223,0.949317739
0,female,1,1
1,female,0.991197768,1.008356933
