year,sex,ishd,tbalc
0,male,1,1
1,male,0.9530702,0.979147608
10,male,0.786365504,0.809993756
100,male,0.786365504,0.793103448
11,male,0.786365504,0.793103448
12,male,0.786365504,0.793103448
13,male,0.786365504,0.793103448
14,male,0.786365504,0.793103448
15,male,0.786365504,0.793103448
16,male,0.786365504,0.793103448
17,male,0.786365504,0.793103448
18,male,0.786365504,0.793103448
19,male,0.786365504,0.793103448
2,male,0.908342807,0.958730037
20,male,0.786365504,0.793103448
21,male,0.786365504,0.793103448
22,male,0.786365504,0.793103448
23,male,0.786365504,0.793103448
24,male,0.786365504,0.793103448
25,male,0.786365504,0.793103448
26,male,0.786365504,0.793103448
27,male,0.786365504,0.793103448
28,male,0.786365504,0.793103448
29,male,0.786365504,0.793103448
3,male,0.865714461,0.938738222
30,male,0.786365504,0.793103448
31,male,0.786365504,0.793103448
32,male,0.786365504,0.793103448
33,male,0.786365504,0.793103448
34,male,0.786365504,0.793103448
35,male,0.786365504,0.793103448
36,male,0.786365504,0.793103448
37,male,0.786365504,0.793103448
38,male,0.786365504,0.793103448
39,male,0.786365504,0.793103448
4,male,0.825086655,0.919163285
40,male,0.786365504,0.793103448
41,male,0.786365504,0.793103448
42,male,0.786365504,0.793103448
43,male,0.786365504,0.793103448
44,male,0.786365504,0.793103448
45,male,0.786365504,0.793103448
46,male,0.786365504,0.793103448
47,male,0.786365504,0.793103448
48,male,0.786365504,0.793103448
49,male,0.786365504,0.793103448
5,male,0.786365504,0.899996531
50,male,0.786365504,0.793103448
51,male,0.786365504,0.793103448
52,male,0.786365504,0.793103448
53,male,0.786365504,0.793103448
54,male,0.786365504,0.793103448
55,male,0.786365504,0.793103448
56,male,0.786365504,0.793103448
57,male,0.786365504,0.793103448
58,male,0.786365504,0.793103448
59,male,0.786365504,0.793103448
6,male,0.786365504,0.88122945
60,male,0.786365504,0.793103448
61,male,0.786365504,0.793103448
62,male,0.786365504,0.793103448
63,male,0.786365504,0.793103448
64,male,0.786365504,0.793103448
65,male,0.786365504,0.793103448
66,male,0.786365504,0.793103448
67,male,0.786365504,0.793103448
68,male,0.786365504,0.793103448
69,male,0.786365504,0.793103448
7,male,0.786365504,0.862853708
70,male,0.786365504,0.793103448
71,male,0.786365504,0.793103448
72,male,0.786365504,0.793103448
73,male,0.786365504,0.793103448
74,male,0.786365504,0.793103448
75,male,0.786365504,0.793103448
76,male,0.786365504,0.793103448
77,male,0.786365504,0.793103448
78,male,0.786365504,0.793103448
79,male,0.786365504,0.793103448
8,male,0.786365504,0.844861144
80,male,0.786365504,0.793103448
81,male,0.786365504,0.793103448
82,male,0.786365504,0.793103448
83,male,0.786365504,0.793103448
84,male,0.786365504,0.793103448
85,male,0.786365504,0.793103448
86,male,0.786365504,0.793103448
87,male,0.786365504,0.793103448
88,male,0.786365504,0.793103448
89,male,0.786365504,0.793103448
9,male,0.786365504,0.827243768
90,male,0.786365504,0.793103448
91,male,0.786365504,0.793103448
92,male,0.786365504,0.793103448
93,male,0.786365504,0.793103448
94,male,0.786365504,0.793103448
95,male,0.786365504,0.793103448
