age,sex,population,mx,pyld_rate,deaths_rate_ishd,ylds_rate_ishd,dw_adj_ishd,incidence_ishd,prevalence_ishd,remission_ishd,case_fatality_ishd,deaths_rate_tbalc,ylds_rate_tbalc,dw_adj_tbalc,incidence_tbalc,prevalence_tbalc,remission_tbalc,case_fatality_tbalc
0,female,NA,6.85E-05,0.047478017,6.22E-09,2.77E-09,9.83E-05,0,0,0,0,3.08E-08,4.69E-08,0.065962714,0,0,0,0
1,female,NA,7.26E-05,0.049416515,7.88E-09,3.85E-09,1.22E-04,0,0,0,0,3.56E-08,5.27E-08,0.067112076,0,0,0,0
2,female,100000,7.70E-05,0.051434161,9.99E-09,5.34E-09,1.51E-04,0,0,0,0,4.12E-08,5.92E-08,0.068281465,0,0,0,0
3,female,NA,8.16E-05,0.053534186,1.27E-08,7.42E-09,1.87E-04,0,0,0,0,4.76E-08,6.66E-08,0.06947123,0,0,0,0
4,female,NA,8.66E-05,0.055719954,1.61E-08,1.03E-08,2.32E-04,0,0,0,0,5.50E-08,7.49E-08,0.070681726,0,0,0,0
5,female,NA,9.18E-05,0.057994966,2.04E-08,1.43E-08,2.87E-04,0,0,0,0,6.36E-08,8.42E-08,0.071913314,0,0,0,0
6,female,NA,9.74E-05,0.060362864,2.58E-08,1.99E-08,3.56E-04,0,0,0,0,7.36E-08,9.46E-08,0.073166362,0,0,0,0
7,female,100000,1.03E-04,0.062827443,3.27E-08,2.76E-08,4.41E-04,0,0,0,0,8.51E-08,1.06E-07,0.074441244,0,0,0,0
8,female,NA,1.10E-04,0.065392649,4.15E-08,3.83E-08,5.47E-04,0,0,0,0,9.84E-08,1.20E-07,0.075738339,0,0,0,0
9,female,NA,1.16E-04,0.06806259,5.26E-08,5.33E-08,6.78E-04,0,0,0,0,1.14E-07,1.34E-07,0.077058036,0,0,0,0
10,female,NA,1.23E-04,0.070841544,6.67E-08,7.40E-08,0.000840497,0,0,0,0,1.32E-07,1.51E-07,0.078400727,0,0,0,0
11,female,NA,1.31E-04,0.073733961,8.45E-08,1.03E-07,0.001041698,0,0,0,0,1.52E-07,1.70E-07,0.079766815,0,0,0,0
12,female,100000,1.39E-04,0.076744473,1.07E-07,1.43E-07,0.001291063,0,0,0,0,1.76E-07,1.91E-07,0.081156705,0,0,0,0
13,female,NA,1.47E-04,0.079877902,1.36E-07,1.98E-07,0.001600122,0,0,0,0,2.03E-07,2.15E-07,0.082570814,0,0,0,0
14,female,NA,1.56E-04,0.083139268,1.72E-07,2.75E-07,0.001983165,0,0,0,0,2.35E-07,2.41E-07,0.084009562,0,0,0,0
15,female,NA,1.65E-04,0.086533793,2.18E-07,3.82E-07,0.002457902,0,0,0,0,2.72E-07,2.71E-07,0.08547338,0,0,0,0
16,female,NA,1.75E-04,0.090066914,2.77E-07,5.31E-07,0.003046284,0,0,0,0,3.14E-07,3.05E-07,0.086962704,0,0,0,0
17,female,100000,1.86E-04,0.093744291,3.51E-07,7.37E-07,0.003775514,0,0,0,0,3.63E-07,3.43E-07,0.088477979,0,0,0,0
18,female,NA,1.97E-04,0.097804111,4.47E-07,1.04E-06,0.004809683,0,0,0,0,4.18E-07,3.83E-07,0.090037636,0,0,0,0
19,female,NA,2.10E-04,0.102282685,5.73E-07,1.47E-06,0.006297837,0,0,0,0,4.78E-07,4.25E-07,0.091643085,0,0,0,0
20,female,NA,2.23E-04,0.106839235,7.33E-07,2.08E-06,0.008133906,0,0,0,0,5.48E-07,4.73E-07,0.093267848,0,0,0,0
21,female,NA,2.36E-04,0.111069277,9.26E-07,2.87E-06,0.00994346,0,0,0,0,6.35E-07,5.34E-07,0.094883512,0,0,0,0
22,female,100000,2.49E-04,0.114509772,1.15E-06,3.81E-06,0.011040905,0,0,0,0,7.51E-07,6.16E-07,0.096459716,0,0,0,0
