sex,age,pyld_rate,mx,qx,lx,dx,Lx,ex,Lwx,ewx
female,17,0.093744291,1.86e-4,1.8598270307246256e-4,100000,18.598270307246256,99990.70086484638,68.40235867158839,90617.14350567826,57.890557328039755
female,18,0.097804111,1.97e-4,1.9698059677419888e-4,99981.40172969275,19.6943961790358,99971.55453160324,67.41498968494915,90193.92551535176,56.99498597453609
female,19,0.102282685,2.1e-4,2.0997795154342747e-4,99961.70733351371,20.98975453867482,99951.21245624436,66.42817323645427,89727.93407721425,56.10393032875594
female,20,0.106839235,2.23e-4,2.22975137348147e-4,99940.71757897503,22.28429522884433,99929.5754313606,65.44201960665191,89253.17603839924,55.21790180608714
female,21,0.111069277,2.36e-4,2.3597215419057793e-4,99918.43328374618,23.57796794531313,99906.64429977353,64.45650329189509,88810.08554990152,54.336956407727364
female,22,0.114509772,2.49e-4,2.489690020728297e-4,99894.85531580087,24.87072244018465,99882.41995458078,63.471598807872795,88444.90681877348,53.46074581353044
female,23,0.116852194,2.61e-4,2.6096594246305393e-4,99869.98459336068,26.06266465317705,99856.9532610341,62.48728068828904,88188.4491863268,52.588458711425574
female,24,0.118306781,2.72e-4,2.7196301135368195e-4,99843.92192870751,27.153853673093217,99830.34500187097,61.503461480050156,88019.73823858018,51.71892301866407
female,25,0.119184678,2.84e-4,0.00028395967581740233,99816.76807503442,28.343937103727608,99802.59610648255,60.52005667841738,87907.65582596738,50.85117933349797
female,26,0.119819861,2.96e-4,2.9595619632205583e-4,99788.42413793069,29.53300244483399,99773.65763670827,59.53710479523206,87818.7918472163,49.98468270381102
female,27,0.120557536,3.12e-4,3.119513330614998e-4,99758.89113548586,31.11991907445185,99743.33117594864,58.55458236480413,87718.52093694429,49.11916993489446
female,28,0.121306743,3.32e-4,3.319448940986014e-4,99727.7712164114,33.10412445512123,99711.21915418384,57.57269822042847,87615.57591803059,48.25491782846231
female,29,0.121831851,3.55e-4,3.549369949558123e-4,99694.66709195629,35.385325550739076,99676.97442918092,56.59164950197632,87533.14413239414,47.39210197660411
female,30,0.122270098,3.82e-4,3.819270472895653e-4,99659.28176640555,38.062575220042085,99640.25047879553,55.61156557244287,87457.22728800865,46.530605107936545
female,31,0.122761278,4.11e-4,4.109155510698681e-4,99621.2191911855,40.93590818219811,99600.7512370944,54.63262221205365,87373.63572546862,45.67048561405029
female,32,0.123447548,4.4e-4,4.3990321419573597e-4,99580.2832830033,43.80568668671506,99558.38043965994,53.65487529247758,87268.14249153277,44.81184100990976
female,33,0.124393484,4.67e-4,4.6689097247265554e-4,99536.47759631659,46.472682821446945,99513.24125490586,52.67826858375293,87134.44247107558,43.95481722240581
female,34,0.125508969,4.94e-4,4.93878002089776e-4,99490.00491349514,49.135924854578974,99465.43695106785,51.70264152582057,86981.63250820483,43.099537897956985
female,35,0.126704663,5.22e-4,5.218637817030469e-4,99440.86898864056,51.89458794624921,99414.92169466743,50.72794187940714,86818.5875441732,42.246127245818805
female,36,0.127888024,5.55e-4,5.548460159883195e-4,99388.97440069431,55.145576479390314,99361.40161245462,49.75416770941432,86654.26829836739,41.39466215435655
female,37,0.128963064,5.94e-4,5.93823616925615e-4,99333.82882421491,58.98677351546522,99304.33543745718,48.781511359654104,86497.74407095891,40.54528851408338
female,38,0.129914662,6.45e-4,6.447920322154577e-4,99274.84205069944,64.01162715373907,99242.83623712257,47.81019909681617,86349.73671145544,39.69808385897744
female,39,0.130804453,7.08e-4,7.07749427138693e-4,99210.8304235457,70.21640839821849,99175.72221934659,46.840724018462595,86203.09612356502,38.853331351504565
female,40,0.131649635,7.79e-4,7.786966582727928e-4,99140.61401514748,77.20046483270815,99102.01378273113,45.873544868277506,86055.2698404696,38.011345899114666
female,41,0.132467944,8.57e-4,8.566328803812917e-4,99063.41355031477,84.86097729000923,99020.98306166977,44.908904630569154,85903.87702263155,37.17227955474805
